Updated On,State,Total Doses Administered,Sessions,Sites,First Dose Administered,Second Dose Administered,Male (Doses Administered),Female (Doses Administered),Transgender (Doses Administered),Covaxin (Doses Administered),CoviShield (Doses Administered),Sputnik V (Doses Administered),AEFI,18-44 Years (Doses Administered),45-60 Years (Doses Administered),60+ Years (Doses Administered),18-44 Years (Individuals Vaccinated),45-60 Years (Individuals Vaccinated),60+ Years (Individuals Vaccinated),Male (Individuals Vaccinated),Female (Individuals Vaccinated),Transgender (Individuals Vaccinated)
16/01/2021,India,48276,3455,2957,48276,0,,,,579,47697,,,,,,,,,23757,24517,2
17/01/2021,India,58604,8532,4954,58604,0,,,,635,57969,,,,,,,,,27348,31252,4
18/01/2021,India,99449,13611,6583,99449,0,,,,1299,98150,,,,,,,,,41361,58083,5
19/01/2021,India,195525,17855,7951,195525,0,,,,3017,192508,,,,,,,,,81901,113613,11
20/01/2021,India,251280,25472,10504,251280,0,,,,3946,247334,,,,,,,,,98111,153145,24
21/01/2021,India,365965,32226,12600,365965,0,,,,5367,360598,,,,,,,,,132784,233143,38
22/01/2021,India,549381,36988,14115,549381,0,,,,8128,541253,,,,,,,,,193899,355402,80
23/01/2021,India,759008,43076,15605,759008,0,,,,11192,747816,,,,,,,,,267856,491049,103
24/01/2021,India,835058,49851,18111,835058,0,,,,13156,821902,,,,,,,,,296283,538647,128
25/01/2021,India,1277104,55151,19682,1277104,0,,,,18858,1258246,,,,,,,,,444137,832766,201
26/01/2021,India,1293784,60821,21467,1293784,0,,,,19604,1274180,,,,,,,,,449119,844448,217
27/01/2021,India,1726490,69495,23737,1726490,0,,,,27377,1699113,,,,,,,,,586081,1140137,272
28/01/2021,India,2295491,78523,25610,2295491,0,,,,36921,2258570,,,,,,,,,771229,1523939,323
29/01/2021,India,2814803,83664,26219,2814803,0,,,,43604,2771199,,,,,,,,,939069,1875368,366
30/01/2021,India,3067736,87822,26643,3067736,0,,,,48300,3019436,,,,,,,,,1022380,2044950,406
31/01/2021,India,3127107,91593,27011,3127107,0,,,,58890,3068217,,,,,,,,,1061307,2065391,409
01/02/2021,India,3350265,97432,27751,3350265,0,,,,69372,3280893,,,,,,,,,1152344,2197431,490
02/02/2021,India,3527971,106461,29522,3527971,0,,,,76794,3451177,,,,,,,,,1218507,2308898,566
03/02/2021,India,3825835,116568,31167,3825835,0,,,,86001,3739834,,,,,,,,,1324273,2500887,675
04/02/2021,India,4314304,126714,32505,4314304,0,,,,99015,4215289,,,,,,,,,1504527,2809042,735
05/02/2021,India,4765924,137110,33947,4765924,0,,,,133911,4632013,,,,,,,,,1710466,3054631,827
06/02/2021,India,5111827,145121,34814,5111827,0,,,,195504,4916323,,,,,,,,,1896705,3214244,878
07/02/2021,India,5168099,153231,35778,5168099,0,,,,206130,4961969,,,,,,,,,1928947,3238273,879
08/02/2021,India,5615499,164116,36740,5615499,0,,,,290785,5324714,,,,,,,,,2211020,3403576,903
09/02/2021,India,6002474,175556,38131,6002474,0,,,,363692,5638782,,,,,,,,,2458329,3543208,937
10/02/2021,India,6462270,187224,39339,6462270,0,,,,480760,5981510,,,,,,,,,2785194,3676114,962
11/02/2021,India,6958553,197650,40332,6958553,0,,,,609108,6349445,,,,,,,,,3153649,3803908,996
12/02/2021,India,7423817,207633,40799,7423817,0,,,,740517,6683300,,,,,,,,,3504429,3918381,1007
13/02/2021,India,7708211,216559,41308,7687352,20859,,,,781304,6906048,,,,,,,,,3684053,4002279,1020
14/02/2021,India,7732278,223423,41606,7710367,21911,,,,786042,6924325,,,,,,,,,3699535,4009812,1020
15/02/2021,India,8253651,233527,42016,8111162,142489,,,,825093,7286069,,,,,,,,,3925723,4184377,1062
16/02/2021,India,8577226,245131,42859,8337600,239626,,,,841412,7496188,,,,,,,,,4044967,4291548,1085
17/02/2021,India,9023239,256706,43310,8704698,318541,,,,894555,7810143,,,,,,,,,4271486,4432078,1134
18/02/2021,India,9338267,268275,43734,8862491,475776,,,,962251,7900240,,,,,,,,,4509554,4351815,1122
19/02/2021,India,10241508,279055,44167,9523567,717941,,,,1003518,8520049,,,,,,,,,4820055,4702310,1202
20/02/2021,India,10619113,288334,44791,9734505,884608,,,,1033170,8701335,,,,,,,,,4966750,4766532,1223
21/02/2021,India,10651012,299726,45120,9757217,893795,,,,1037565,8719652,,,,,,,,,4982068,4773924,1225
22/02/2021,India,11243679,312382,45490,10069263,1174416,,,,1085940,8983323,,,,,,,,,5226538,4841511,1214
23/02/2021,India,11597768,325527,46054,10288293,1309475,,,,1120345,9167948,,,,,,,,,5389434,4897627,1232
24/02/2021,India,12042958,339617,46671,10517568,1525390,,,,1156820,9360748,,,,,,,,,5558978,4957351,1239
25/02/2021,India,12819074,352882,47068,10846192,1972882,,,,1204424,9641768,,,,,,,,,5799474,5045426,1292
26/02/2021,India,13560932,357440,47240,11141375,2419557,,,,1244235,9897140,,,,,,,,,6008758,5131299,1318
27/02/2021,India,13560983,357450,47242,11141426,2419557,,,,1244235,9897191,,,,,,,,,6008785,5131323,1318
28/02/2021,India,13561208,367595,48032,11141651,2419557,,,,1244273,9897378,,,,,,,,,6008960,5131373,1318
01/03/2021,India,13561208,401961,50243,11141651,2419557,,,,1244273,9897378,,,,,,,,,6008960,5131373,1318
02/03/2021,India,14533954,448977,51350,11886320,2647634,,,,1277711,10608609,,,,,,,,,6462436,5422470,1414
03/03/2021,India,15383883,533253,54700,12553326,2830557,,,,1307164,11246162,,,,,,,,,6859318,5692550,1458
