SlNo,State_Code,State,District_Key,District,Population
1,AN,Andaman and Nicobar Islands,AN_Nicobars,Nicobars,36842
2,AN,Andaman and Nicobar Islands,AN_North and Middle Andaman,North and Middle Andaman,105597
3,AN,Andaman and Nicobar Islands,AN_South Andaman,South Andaman,238142
4,AP,Andhra Pradesh,AP_Anantapur,Anantapur,4083315
5,AP,Andhra Pradesh,AP_Chittoor,Chittoor,4170468
6,AP,Andhra Pradesh,AP_East Godavari,East Godavari,5151549
7,AP,Andhra Pradesh,AP_Guntur,Guntur,4889230
8,AP,Andhra Pradesh,AP_Krishna,Krishna,4529009
9,AP,Andhra Pradesh,AP_Kurnool,Kurnool,4046601
10,AP,Andhra Pradesh,AP_Prakasam,Prakasam,3392764
11,AP,Andhra Pradesh,AP_S.P.S. Nellore,S.P.S. Nellore,2966082
12,AP,Andhra Pradesh,AP_Srikakulam,Srikakulam,2699471
13,AP,Andhra Pradesh,AP_Visakhapatnam,Visakhapatnam,4288113
14,AP,Andhra Pradesh,AP_Vizianagaram,Vizianagaram,2342868
15,AP,Andhra Pradesh,AP_West Godavari,West Godavari,3934782
16,AP,Andhra Pradesh,AP_Y.S.R. Kadapa,Y.S.R. Kadapa,2884524
17,AR,Arunachal Pradesh,AR_Anjaw,Anjaw,21089
18,AR,Arunachal Pradesh,AR_Changlang,Changlang,147951
19,AR,Arunachal Pradesh,AR_East Kameng,East Kameng,78413
20,AR,Arunachal Pradesh,AR_East Siang,East Siang,99019
21,AR,Arunachal Pradesh,AR_Kamle,Kamle,22256
22,AR,Arunachal Pradesh,AR_Kra Daadi,Kra Daadi,
23,AR,Arunachal Pradesh,AR_Kurung Kumey,Kurung Kumey,89717
24,AR,Arunachal Pradesh,AR_Lepa Rada,Lepa Rada,
25,AR,Arunachal Pradesh,AR_Lohit,Lohit,145538
26,AR,Arunachal Pradesh,AR_Longding,Longding,60000
27,AR,Arunachal Pradesh,AR_Lower Dibang Valley,Lower Dibang Valley,53986
28,AR,Arunachal Pradesh,AR_Lower Siang,Lower Siang,80597
29,AR,Arunachal Pradesh,AR_Lower Subansiri,Lower Subansiri,82839
30,AR,Arunachal Pradesh,AR_Namsai,Namsai,95950
31,AR,Arunachal Pradesh,AR_Pakke Kessang,Pakke Kessang,
32,AR,Arunachal Pradesh,AR_Papum Pare,Papum Pare,176385
33,AR,Arunachal Pradesh,AR_Shi Yomi,Shi Yomi,13310
34,AR,Arunachal Pradesh,AR_Siang,Siang,31920
35,AR,Arunachal Pradesh,AR_Tawang,Tawang,49950
36,AR,Arunachal Pradesh,AR_Tirap,Tirap,111997
37,AR,Arunachal Pradesh,AR_Upper Dibang Valley,Upper Dibang Valley,7948
38,AR,Arunachal Pradesh,AR_Upper Siang,Upper Siang,35289
39,AR,Arunachal Pradesh,AR_Upper Subansiri,Upper Subansiri,83205
40,AR,Arunachal Pradesh,AR_West Kameng,West Kameng,87013
41,AR,Arunachal Pradesh,AR_West Siang,West Siang,112272
42,AS,Assam,AS_Baksa,Baksa,953773
43,AS,Assam,AS_Barpeta,Barpeta,1693190
44,AS,Assam,AS_Biswanath,Biswanath,612491
45,AS,Assam,AS_Bongaigaon,Bongaigaon,732639
46,AS,Assam,AS_Cachar,Cachar,1736319
47,AS,Assam,AS_Charaideo,Charaideo,
48,AS,Assam,AS_Chirang,Chirang,481818
49,AS,Assam,AS_Darrang,Darrang,908090
50,AS,Assam,AS_Dhemaji,Dhemaji,688077
51,AS,Assam,AS_Dhubri,Dhubri,1948632
52,AS,Assam,AS_Dibrugarh,Dibrugarh,1327748
53,AS,Assam,AS_Dima Hasao,Dima Hasao,213529
54,AS,Assam,AS_Goalpara,Goalpara,1008959
55,AS,Assam,AS_Golaghat,Golaghat,1058674
56,AS,Assam,AS_Hailakandi,Hailakandi,659260
57,AS,Assam,AS_Hojai,Hojai,931218
58,AS,Assam,AS_Jorhat,Jorhat,1091295
59,AS,Assam,AS_Kamrup,Kamrup,1517202
60,AS,Assam,AS_Kamrup Metropolitan,Kamrup Metropolitan,1260419
61,AS,Assam,AS_Karbi Anglong,Karbi Anglong,965280
62,AS,Assam,AS_Karimganj,Karimganj,1217002
63,AS,Assam,AS_Kokrajhar,Kokrajhar,886999
64,AS,Assam,AS_Lakhimpur,Lakhimpur,1040644
65,AS,Assam,AS_Majuli,Majuli,167304
66,AS,Assam,AS_Morigaon,Morigaon,957853
67,AS,Assam,AS_Nagaon,Nagaon,2826006
68,AS,Assam,AS_Nalbari,Nalbari,769919
69,AS,Assam,AS_Sivasagar,Sivasagar,1150253
