No,State UT,Abbreviation,Population
29,Andaman and Nicobar Islands,AN,397000
1,Andhra Pradesh,AP,52221000
2,Arunachal Pradesh,AR,1504000
3,Assam,AS,34293000
4,Bihar,BR,119520000
30,Chandigarh,CH,1179000
5,Chhattisgarh,CT,28724000
31,Dadra and Nagar Haveli and Daman and Diu,DN,959000
33,Delhi,DL,19814000
6,Goa,GA,1540000
7,Gujarat,GJ,67936000
8,Haryana,HR,28672000
9,Himachal Pradesh,HP,7300000
0,India,TT,1332900000
34,Jammu and Kashmir,JK,13203000
10,Jharkhand,JH,37403000
11,Karnataka,KA,65798000
12,Kerala,KL,35125000
35,Ladakh,LA,293000
36,Lakshadweep,LD,68000
13,Madhya Pradesh,MP,82232000
14,Maharashtra,MH,122153000
15,Manipur,MN,3103000
16,Meghalaya,ML,3224000
17,Mizoram,MZ,1192000
18,Nagaland,NL,2150000
19,Odisha,OR,43671000
37,Puducherry,PY,1504000
20,Punjab,PB,29859000
21,Rajasthan,RJ,77264000
22,Sikkim,SK,664000
38,State Unassigned,UN,
23,Tamil Nadu,TN,75695000
24,Telangana,TG,37220000
25,Tripura,TR,3992000
27,Uttar Pradesh,UP,224979000
26,Uttarakhand,UT,11141000
28,West Bengal,WB,96906000
